cv_scheme = classic, disease = allergy:
 method                                                prob           SE df  asymp.LCL  asymp.UCL
 pr                                              0.06413337 0.0011866828 NA 0.06184642 0.06649888
 randomraw                                       0.02675916 0.0006246426 NA 0.02556174 0.02801105
 random                                          0.02136428 0.0005351506 NA 0.02034020 0.02243873
 EGAD                                            0.03466568 0.0007506133 NA 0.03322422 0.03616733
 association_score.datatypes.affected_pathway    0.02163712 0.0005397648 NA 0.02060412 0.02272072
 association_score.datatypes.animal_model        0.03689862 0.0007853205 NA 0.03538992 0.03846908
 association_score.datatypes.genetic_association 0.05287404 0.0010251025 NA 0.05090055 0.05491963
 association_score.datatypes.literature          0.17152197 0.0024963058 NA 0.16668449 0.17647011
 association_score.datatypes.rna_expression      0.03503080 0.0007563120 NA 0.03357831 0.03654375
 association_score.datatypes.somatic_mutation    0.02125267 0.0005332601 NA 0.02023226 0.02232337
 ppr                                             0.07345127 0.0013164306 NA 0.07091248 0.07607352
 raw                                             0.05189467 0.0010107807 NA 0.04994895 0.05391189
 gm                                              0.04247182 0.0008705600 NA 0.04079793 0.04421122
 mc                                              0.04398672 0.0008934159 NA 0.04226853 0.04577141
 z                                               0.04339011 0.0008844299 NA 0.04168934 0.04515700
 knn                                             0.04567281 0.0009187080 NA 0.04390559 0.04750762
 wsld                                            0.04464231 0.0009032681 NA 0.04290502 0.04644652
 COSNet                                          0.05551966 0.0010635695 NA 0.05347156 0.05764143
 bagsvm                                          0.04764687 0.0009481302 NA 0.04582262 0.04953998
 rf                                              0.03415904 0.0007426904 NA 0.03273294 0.03564499
 svm                                             0.03122249 0.0006963910 NA 0.02988608 0.03261665

cv_scheme = block, disease = allergy:
 method                                                prob           SE df  asymp.LCL  asymp.UCL
 pr                                              0.06380979 0.0011813043 NA 0.06153324 0.06616462
 randomraw                                       0.02661878 0.0006215322 NA 0.02542734 0.02786446
 random                                          0.02125159 0.0005324475 NA 0.02023269 0.02232062
 EGAD                                            0.03448530 0.0007469511 NA 0.03305089 0.03597964
 association_score.datatypes.affected_pathway    0.02152303 0.0005370404 NA 0.02049524 0.02260116
 association_score.datatypes.animal_model        0.03670706 0.0007815106 NA 0.03520570 0.03826992
 association_score.datatypes.genetic_association 0.05260408 0.0010203243 NA 0.05063981 0.05464016
 association_score.datatypes.literature          0.17075543 0.0024878829 NA 0.16593441 0.17568702
 association_score.datatypes.rna_expression      0.03484859 0.0007526254 NA 0.03340319 0.03635418
 association_score.datatypes.somatic_mutation    0.02114055 0.0005305657 NA 0.02012531 0.02220586
 ppr                                             0.07308435 0.0013106016 NA 0.07055684 0.07569504
 raw                                             0.05162943 0.0010060577 NA 0.04969283 0.05363725
 gm                                              0.04225260 0.0008663954 NA 0.04058674 0.04398370
 mc                                              0.04376003 0.0008891582 NA 0.04205005 0.04553624
 z                                               0.04316637 0.0008802086 NA 0.04147373 0.04492484
 knn                                             0.04543785 0.0009143481 NA 0.04367904 0.04726398
 wsld                                            0.04441240 0.0008989705 NA 0.04268340 0.04620806
 COSNet                                          0.05523698 0.0010586444 NA 0.05319839 0.05734895
 bagsvm                                          0.04740226 0.0009436528 NA 0.04558665 0.04928645
 rf                                              0.03398121 0.0007390622 NA 0.03256208 0.03545991
 svm                                             0.03105945 0.0006929633 NA 0.02972963 0.03244676

cv_scheme = representative, disease = allergy:
 method                                                prob           SE df  asymp.LCL  asymp.UCL
 pr                                              0.06595119 0.0012168235 NA 0.06360596 0.06837657
 randomraw                                       0.02754881 0.0006421207 NA 0.02631783 0.02883567
 random                                          0.02199833 0.0005503466 NA 0.02094513 0.02310324
 EGAD                                            0.03568010 0.0007711807 NA 0.03419906 0.03722280
 association_score.datatypes.affected_pathway    0.02227909 0.0005550803 NA 0.02121672 0.02339338
 association_score.datatypes.animal_model        0.03797582 0.0008067138 NA 0.03642592 0.03958895
 association_score.datatypes.genetic_association 0.05439127 0.0010519019 NA 0.05236603 0.05649017
 association_score.datatypes.literature          0.17581184 0.0025430894 NA 0.17088292 0.18085191
 association_score.datatypes.rna_expression      0.03605551 0.0007770158 NA 0.03456316 0.03760978
 association_score.datatypes.somatic_mutation    0.02188348 0.0005484071 NA 0.02083404 0.02298455
 ppr                                             0.07551189 0.0013490726 NA 0.07290991 0.07819891
 raw                                             0.05338538 0.0010372720 NA 0.05138851 0.05545531
 gm                                              0.04370433 0.0008939354 NA 0.04198538 0.04549032
 mc                                              0.04526111 0.0009173115 NA 0.04349685 0.04709341
 z                                               0.04464803 0.0009081215 NA 0.04290158 0.04646212
 knn                                             0.04699365 0.0009431737 NA 0.04517925 0.04887719
 wsld                                            0.04593478 0.0009273865 NA 0.04415098 0.04778704
 COSNet                                          0.05710823 0.0010911867 NA 0.05500679 0.05928492
 bagsvm                                          0.04902187 0.0009732517 NA 0.04714915 0.05096499
 rf                                              0.03515918 0.0007630677 NA 0.03369386 0.03668580
 svm                                             0.03213951 0.0007156463 NA 0.03076607 0.03357213

cv_scheme = classic, disease = Alzheimers disease:
 method                                                prob           SE df  asymp.LCL  asymp.UCL
 pr                                              0.07311652 0.0012931901 NA 0.07062203 0.07569194
 randomraw                                       0.03067892 0.0006963198 NA 0.02934316 0.03207347
 random                                          0.02451368 0.0005993051 NA 0.02336610 0.02571614
 EGAD                                            0.03969637 0.0008318436 NA 0.03809770 0.04135924
 association_score.datatypes.affected_pathway    0.02482573 0.0006043236 NA 0.02366842 0.02603813
 association_score.datatypes.animal_model        0.04223918 0.0008689892 NA 0.04056844 0.04397558
 association_score.datatypes.genetic_association 0.06038186 0.0011235534 NA 0.05821694 0.06262192
 association_score.datatypes.literature          0.19245378 0.0026119016 NA 0.18738634 0.19762493
 association_score.datatypes.rna_expression      0.04011228 0.0008379481 NA 0.03850177 0.04178723
 association_score.datatypes.somatic_mutation    0.02438604 0.0005972484 NA 0.02324244 0.02558442
 ppr                                             0.08362296 0.0014283427 NA 0.08086571 0.08646538
 raw                                             0.05927212 0.0011084453 NA 0.05713655 0.06148231
 gm                                              0.04857834 0.0009598868 NA 0.04673119 0.05049463
 mc                                              0.05029960 0.0009841825 NA 0.04840529 0.05226396
 z                                               0.04962182 0.0009746342 NA 0.04774605 0.05156729
 knn                                             0.05221446 0.0010110307 NA 0.05026803 0.05423195
 wsld                                            0.05104425 0.0009946455 NA 0.04912964 0.05302932
 COSNet                                          0.06337800 0.0011640733 NA 0.06113439 0.06569819
 bagsvm                                          0.05445513 0.0010422145 NA 0.05244817 0.05653431
 rf                                              0.03911919 0.0008233527 NA 0.03753700 0.04076525
 svm                                             0.03577202 0.0007736483 NA 0.03428626 0.03731968

cv_scheme = block, disease = Alzheimers disease:
 method                                                prob           SE df  asymp.LCL  asymp.UCL
 pr                                              0.07275114 0.0012874664 NA 0.07026773 0.07531521
 randomraw                                       0.03051863 0.0006928849 NA 0.02918947 0.03190632
 random                                          0.02438479 0.0005963001 NA 0.02324298 0.02558124
 EGAD                                            0.03949088 0.0008278349 NA 0.03789994 0.04114576
 association_score.datatypes.affected_pathway    0.02469524 0.0006012960 NA 0.02354374 0.02590158
 association_score.datatypes.animal_model        0.04202111 0.0008648287 NA 0.04035838 0.04374921
 association_score.datatypes.genetic_association 0.06007599 0.0011184166 NA 0.05792101 0.06230585
 association_score.datatypes.literature          0.19161533 0.0026037104 NA 0.18656393 0.19677042
 association_score.datatypes.rna_expression      0.03990473 0.0008339144 NA 0.03830199 0.04157164
 association_score.datatypes.somatic_mutation    0.02425780 0.0005942527 NA 0.02311995 0.02545019
 ppr                                             0.08320979 0.0014221896 NA 0.08046447 0.08604002
 raw                                             0.05897152 0.0011033633 NA 0.05684577 0.06117161
 gm                                              0.04832919 0.0009553648 NA 0.04649077 0.05023648
 mc                                              0.05004208 0.0009795663 NA 0.04815669 0.05199726
 z                                               0.04936759 0.0009700549 NA 0.04750066 0.05130395
 knn                                             0.05194768 0.0010063115 NA 0.05001036 0.05395578
 wsld                                            0.05078313 0.0009899890 NA 0.04887750 0.05275893
 COSNet                                          0.06305798 0.0011587916 NA 0.06082458 0.06536768
 bagsvm                                          0.05417756 0.0010373774 NA 0.05217993 0.05624712
