cv_scheme = classic:
 method                                                prob           SE df  asymp.LCL  asymp.UCL
 pr                                              0.15288896 0.0017687581 NA 0.14945437 0.15638796
 randomraw                                       0.08493974 0.0013755211 NA 0.08228230 0.08767482
 random                                          0.06733458 0.0012373533 NA 0.06494956 0.06980065
 EGAD                                            0.25179901 0.0021148736 NA 0.24767661 0.25596668
 association_score.datatypes.affected_pathway    0.06716655 0.0012359279 NA 0.06478434 0.06962984
 association_score.datatypes.animal_model        0.09062814 0.0014160380 NA 0.08789075 0.09344205
 association_score.datatypes.genetic_association 0.11876554 0.0015934165 NA 0.11567785 0.12192428
 association_score.datatypes.literature          0.36154826 0.0023071077 NA 0.35703878 0.36608226
 association_score.datatypes.rna_expression      0.09510020 0.0014466733 NA 0.09230235 0.09797371
 association_score.datatypes.somatic_mutation    0.06658541 0.0012309811 NA 0.06421295 0.06903906
 ppr                                             0.40448486 0.0023394700 NA 0.39990804 0.40907835
 raw                                             0.51115951 0.0023280430 NA 0.50659583 0.51572133
 gm                                              0.25704362 0.0021280695 NA 0.25289486 0.26123664
 mc                                              0.45687901 0.0023497574 NA 0.45227739 0.46148801
 z                                               0.47015992 0.0023474453 NA 0.46556167 0.47476323
 knn                                             0.46533213 0.0023485125 NA 0.46073221 0.46993795
 wsld                                            0.45749690 0.0023496934 NA 0.45289535 0.46210572
 COSNet                                          0.22826646 0.0020499887 NA 0.22427347 0.23230924
 bagsvm                                          0.49516545 0.0023378029 NA 0.49058397 0.49974773
 rf                                              0.45645354 0.0023497990 NA 0.45185187 0.46106265
 svm                                             0.39254946 0.0023326923 NA 0.38798701 0.39713075

cv_scheme = block:
 method                                                prob           SE df  asymp.LCL  asymp.UCL
 pr                                              0.08321113 0.0010628752 NA 0.08115150 0.08531817
 randomraw                                       0.04459881 0.0007641795 NA 0.04312480 0.04612079
 random                                          0.03503485 0.0006734942 NA 0.03373852 0.03637911
 EGAD                                            0.14474616 0.0014241984 NA 0.14197708 0.14755996
 association_score.datatypes.affected_pathway    0.03494440 0.0006725868 NA 0.03364985 0.03628688
 association_score.datatypes.animal_model        0.04772649 0.0007918966 NA 0.04619816 0.04930278
 association_score.datatypes.genetic_association 0.06347389 0.0009205752 NA 0.06169333 0.06530227
 association_score.datatypes.literature          0.22165861 0.0017658476 NA 0.21821695 0.22513893
 association_score.datatypes.rna_expression      0.05019843 0.0008132327 NA 0.04862828 0.05181652
 association_score.datatypes.somatic_mutation    0.03463170 0.0006694414 NA 0.03334332 0.03596802
 ppr                                             0.25460732 0.0018844442 NA 0.25093154 0.25831837
 raw                                             0.34462950 0.0021369689 NA 0.34045327 0.34882987
 gm                                              0.14820268 0.0014417968 NA 0.14539901 0.15105086
 mc                                              0.29727881 0.0020166272 NA 0.29334152 0.30124643
 z                                               0.30855605 0.0020477379 NA 0.30455707 0.31258393
 knn                                             0.30443421 0.0020365475 NA 0.30045743 0.30844042
 wsld                                            0.29779921 0.0020180972 NA 0.29385900 0.30176967
 COSNet                                          0.12948703 0.0013435235 NA 0.12687648 0.13214315
 bagsvm                                          0.33032510 0.0021034365 NA 0.32621555 0.33446071
 rf                                              0.29692071 0.0020156137 NA 0.29298542 0.30088637
 svm                                             0.24527295 0.0018523633 NA 0.24166055 0.24892163

cv_scheme = representative:
 method                                                prob           SE df  asymp.LCL  asymp.UCL
 pr                                              0.10901141 0.0013404128 NA 0.10641190 0.11166648
 randomraw                                       0.05920011 0.0009927602 NA 0.05728404 0.06117611
 random                                          0.04665789 0.0008816721 NA 0.04495996 0.04841669
 EGAD                                            0.18575999 0.0017186711 NA 0.18241501 0.18915213
 association_score.datatypes.affected_pathway    0.04653888 0.0008805484 NA 0.04484316 0.04829548
 association_score.datatypes.animal_model        0.06328394 0.0010262248 NA 0.06130214 0.06532536
 association_score.datatypes.genetic_association 0.08371328 0.0011784370 NA 0.08143235 0.08605212
 association_score.datatypes.literature          0.27739710 0.0020251746 NA 0.27344538 0.28138381
 association_score.datatypes.rna_expression      0.06650538 0.0010518246 NA 0.06447328 0.06859683
 association_score.datatypes.somatic_mutation    0.04612739 0.0008766519 NA 0.04443932 0.04787637
 ppr                                             0.31527507 0.0021168482 NA 0.31114092 0.31943867
 raw                                             0.41481054 0.0022740405 NA 0.41036059 0.41927444
 gm                                              0.18997836 0.0017357775 NA 0.18659960 0.19340376
 mc                                              0.36316052 0.0022070408 NA 0.35884596 0.36749721
 z                                               0.37560114 0.0022259921 NA 0.37124848 0.37997400
 knn                                             0.37106432 0.0022192905 NA 0.36672515 0.37542440
 wsld                                            0.36373654 0.0022079583 NA 0.35942014 0.36807499
 COSNet                                          0.16702155 0.0016386056 NA 0.16383458 0.17025789
 bagsvm                                          0.39936826 0.0022572129 NA 0.39495253 0.40380042
 rf                                              0.36276402 0.0022064070 NA 0.35845074 0.36709950
 svm                                             0.30462549 0.0020929477 NA 0.30053898 0.30874304

Results are averaged over the levels of: disease 
Confidence level used: 0.95 
Intervals are back-transformed from the logit scale 
