cv_scheme = classic, disease = allergy:
 method                                               prob          SE df asymp.LCL asymp.UCL
 pr                                              0.6341114 0.001978664 NA 0.6302247 0.6379807
 randomraw                                       0.5639180 0.002067417 NA 0.5598617 0.5679657
 random                                          0.4970576 0.002092808 NA 0.4929561 0.5011596
 EGAD                                            0.5375310 0.002084307 NA 0.5334434 0.5416136
 association_score.datatypes.affected_pathway    0.4964082 0.002092772 NA 0.4923068 0.5005101
 association_score.datatypes.animal_model        0.5061643 0.002092731 NA 0.5020623 0.5102655
 association_score.datatypes.genetic_association 0.5193928 0.002090720 NA 0.5152939 0.5234892
 association_score.datatypes.literature          0.6985772 0.001840330 NA 0.6949580 0.7021719
 association_score.datatypes.rna_expression      0.5130650 0.002091963 NA 0.5089640 0.5171642
 association_score.datatypes.somatic_mutation    0.4961728 0.002092758 NA 0.4920714 0.5002747
 ppr                                             0.6290318 0.001987237 NA 0.6251285 0.6329182
 raw                                             0.6105933 0.002015526 NA 0.6066358 0.6145364
 gm                                              0.4152419 0.002045654 NA 0.4112382 0.4192568
 mc                                              0.5998533 0.002029965 NA 0.5958681 0.6038253
 z                                               0.5878006 0.002044388 NA 0.5837879 0.5918016
 knn                                             0.5885123 0.002043588 NA 0.5845012 0.5925118
 wsld                                            0.5881582 0.002043987 NA 0.5841463 0.5921584
 COSNet                                          0.5141270 0.002091790 NA 0.5100263 0.5182258
 bagsvm                                          0.5815260 0.002051152 NA 0.5775004 0.5855406
 rf                                              0.5564564 0.002073103 NA 0.5523895 0.5605157
 svm                                             0.5192374 0.002090757 NA 0.5151384 0.5233338

cv_scheme = block, disease = allergy:
 method                                               prob          SE df asymp.LCL asymp.UCL
 pr                                              0.6404810 0.001964139 NA 0.6366224 0.6443215
 randomraw                                       0.5706822 0.002060002 NA 0.5666401 0.5747150
 random                                          0.5039467 0.002092818 NA 0.4998447 0.5080482
 EGAD                                            0.5443738 0.002079782 NA 0.5402947 0.5484471
 association_score.datatypes.affected_pathway    0.5032973 0.002092856 NA 0.4991952 0.5073989
 association_score.datatypes.animal_model        0.5130509 0.002091715 NA 0.5089504 0.5171496
 association_score.datatypes.genetic_association 0.5262675 0.002088218 NA 0.5221730 0.5303585
 association_score.datatypes.literature          0.7043478 0.001820492 NA 0.7007672 0.7079033
 association_score.datatypes.rna_expression      0.5199465 0.002090171 NA 0.5158486 0.5240418
 association_score.datatypes.somatic_mutation    0.5030618 0.002092869 NA 0.4989598 0.5071635
 ppr                                             0.6354389 0.001973188 NA 0.6315629 0.6392975
 raw                                             0.6171251 0.002003262 NA 0.6131912 0.6210437
 gm                                              0.4219483 0.002054711 NA 0.4179264 0.4259806
 mc                                              0.6064491 0.002018779 NA 0.6024855 0.6103988
 z                                               0.5944608 0.002034441 NA 0.5904672 0.5984419
 knn                                             0.5951690 0.002033568 NA 0.5911770 0.5991483
 wsld                                            0.5948166 0.002034003 NA 0.5908239 0.5987968
 COSNet                                          0.5210075 0.002089879 NA 0.5169101 0.5251021
 bagsvm                                          0.5882165 0.002041861 NA 0.5842088 0.5922126
 rf                                              0.5632467 0.002066497 NA 0.5591923 0.5672927
 svm                                             0.5261123 0.002088273 NA 0.5220177 0.5302034

cv_scheme = representative, disease = allergy:
 method                                               prob          SE df asymp.LCL asymp.UCL
 pr                                              0.6514121 0.001937646 NA 0.6476048 0.6552001
 randomraw                                       0.5823517 0.002045463 NA 0.5783373 0.5863552
 random                                          0.5158913 0.002091019 NA 0.5117920 0.5199885
 EGAD                                            0.5562023 0.002070172 NA 0.5521412 0.5602559
 association_score.datatypes.affected_pathway    0.5152425 0.002091184 NA 0.5111429 0.5193400
 association_score.datatypes.animal_model        0.5249829 0.002088142 NA 0.5208886 0.5290738
 association_score.datatypes.genetic_association 0.5381673 0.002082082 NA 0.5340840 0.5422454
 association_score.datatypes.literature          0.7142035 0.001785292 NA 0.7106916 0.7176898
 association_score.datatypes.rna_expression      0.5318638 0.002085258 NA 0.5277747 0.5359486
 association_score.datatypes.somatic_mutation    0.5150073 0.002091242 NA 0.5109076 0.5191049
 ppr                                             0.6464387 0.001947486 NA 0.6426125 0.6502463
 raw                                             0.6283543 0.001980542 NA 0.6244643 0.6322278
 gm                                              0.4336484 0.002068755 NA 0.4295983 0.4377075
 mc                                              0.6177975 0.001997867 NA 0.6138742 0.6217055
 z                                               0.6059302 0.002015614 NA 0.6019729 0.6098738
 knn                                             0.6066316 0.002014616 NA 0.6026762 0.6105731
 wsld                                            0.6062826 0.002015114 NA 0.6023262 0.6102252
 COSNet                                          0.5329221 0.002084760 NA 0.5288339 0.5370059
 bagsvm                                          0.5997436 0.002024142 NA 0.5957699 0.6037043
 rf                                              0.5749678 0.002053334 NA 0.5709384 0.5789872
 svm                                             0.5380125 0.002082166 NA 0.5339291 0.5420908

cv_scheme = classic, disease = Alzheimers disease:
 method                                               prob          SE df asymp.LCL asymp.UCL
 pr                                              0.6369002 0.001973020 NA 0.6330244 0.6407583
 randomraw                                       0.5668764 0.002064948 NA 0.5628248 0.5709191
 random                                          0.5000675 0.002093604 NA 0.4959642 0.5041708
 EGAD                                            0.5405226 0.002083114 NA 0.5364371 0.5446026
 association_score.datatypes.affected_pathway    0.4994181 0.002093601 NA 0.4953148 0.5035214
 association_score.datatypes.animal_model        0.5091735 0.002093079 NA 0.5050707 0.5132752
 association_score.datatypes.genetic_association 0.5223975 0.002090417 NA 0.5182989 0.5264930
 association_score.datatypes.literature          0.7011063 0.001832262 NA 0.6975028 0.7046850
 association_score.datatypes.rna_expression      0.5160723 0.002091971 NA 0.5119712 0.5201714
 association_score.datatypes.somatic_mutation    0.4991826 0.002093599 NA 0.4950794 0.5032860
 ppr                                             0.6318368 0.001981807 NA 0.6279441 0.6357125
 raw                                             0.6134521 0.002010898 NA 0.6095035 0.6173859
 gm                                              0.4181682 0.002050369 NA 0.4141551 0.4221922
 mc                                              0.6027396 0.002025819 NA 0.5987624 0.6067033
 z                                               0.5907146 0.002040795 NA 0.5867088 0.5947084
 knn                                             0.5914248 0.002039962 NA 0.5874206 0.5954169
 wsld                                            0.5910714 0.002040377 NA 0.5870664 0.5950644
 COSNet                                          0.5171339 0.002091746 NA 0.5130331 0.5212324
 bagsvm                                          0.5844529 0.002047851 NA 0.5804337 0.5884610
 rf                                              0.5594259 0.002070992 NA 0.5553629 0.5634809
 svm                                             0.5222421 0.002090462 NA 0.5181435 0.5263378

cv_scheme = block, disease = Alzheimers disease:
 method                                               prob          SE df asymp.LCL asymp.UCL
 pr                                              0.6432486 0.001958243 NA 0.6394013 0.6470774
 randomraw                                       0.5736294 0.002057215 NA 0.5695925 0.5776565
 random                                          0.5069562 0.002093276 NA 0.5028531 0.5110584
 EGAD                                            0.5473584 0.002078257 NA 0.5432820 0.5514285
 association_score.datatypes.affected_pathway    0.5063069 0.002093346 NA 0.5022037 0.5104092
 association_score.datatypes.animal_model        0.5160582 0.002091724 NA 0.5119575 0.5201567
 association_score.datatypes.genetic_association 0.5292681 0.002087578 NA 0.5251747 0.5333577
 association_score.datatypes.literature          0.7068487 0.001812266 NA 0.7032842 0.7103881
 association_score.datatypes.rna_expression      0.5229509 0.002089841 NA 0.5188534 0.5270453
 association_score.datatypes.somatic_mutation    0.5060715 0.002093370 NA 0.5019682 0.5101739
