cv_scheme = classic, disease = allergy:
 method                                                rate         SE df  asymp.LCL  asymp.UCL
 pr                                               2.2682668 0.04211273 NA  2.1872111  2.3523264
 randomraw                                        1.1131233 0.02596510 NA  1.0633785  1.1651952
 random                                           0.9506452 0.02349932 NA  0.9056853  0.9978370
 EGAD                                             4.4363443 0.07025475 NA  4.3007626  4.5762003
 association_score.datatypes.affected_pathway     1.7350223 0.03486309 NA  1.6680199  1.8047160
 association_score.datatypes.animal_model         2.0202653 0.03877055 NA  1.9456877  2.0977013
 association_score.datatypes.genetic_association  1.9764324 0.03817496 NA  1.9030094  2.0526883
 association_score.datatypes.literature           6.0835361 0.09108689 NA  5.9076032  6.2647085
 association_score.datatypes.rna_expression       1.5550769 0.03235267 NA  1.4929423  1.6197976
 association_score.datatypes.somatic_mutation     1.7328801 0.03483344 NA  1.6659352  1.8025151
 ppr                                              7.5786313 0.10983695 NA  7.3663836  7.7969945
 raw                                              9.5956009 0.13500741 NA  9.3346064  9.8638928
 gm                                               5.7503407 0.08689163 NA  5.5825334  5.9231921
 mc                                               8.3979428 0.12007451 NA  8.1658681  8.6366131
 z                                                8.7827160 0.12487569 NA  8.5413430  9.0309101
 knn                                              9.0687829 0.12844285 NA  8.8205016  9.3240530
 wsld                                             8.7784316 0.12482225 NA  8.5371621  9.0265196
 COSNet                                           4.5207143 0.07132864 NA  4.3830523  4.6627000
 bagsvm                                           9.4807457 0.13357671 NA  9.2225219  9.7461995
 rf                                               8.9900156 0.12746084 NA  8.7436361  9.2433377
 svm                                              7.6315273 0.11049857 NA  7.4179983  7.8512029

cv_scheme = block, disease = allergy:
 method                                                rate         SE df  asymp.LCL  asymp.UCL
 pr                                               1.2638281 0.02367924 NA  1.2182594  1.3111012
 randomraw                                        0.6202077 0.01455128 NA  0.5923335  0.6493936
 random                                           0.5296785 0.01316110 NA  0.5045012  0.5561122
 EGAD                                             2.4718329 0.03963645 NA  2.3953549  2.5507525
 association_score.datatypes.affected_pathway     0.9667160 0.01957697 NA  0.9290974  1.0058578
 association_score.datatypes.animal_model         1.1256471 0.02178737 NA  1.0837445  1.1691699
 association_score.datatypes.genetic_association  1.1012244 0.02145034 NA  1.0599749  1.1440791
 association_score.datatypes.literature           3.3896117 0.05146475 NA  3.2902287  3.4919966
 association_score.datatypes.rna_expression       0.8664545 0.01815783 NA  0.8315867  0.9027841
 association_score.datatypes.somatic_mutation     0.9655224 0.01956020 NA  0.9279363  1.0046310
 ppr                                              4.2226456 0.06211611 NA  4.1026386  4.3461630
 raw                                              5.3464564 0.07641908 NA  5.1987563  5.4983528
 gm                                               3.2039625 0.04908211 NA  3.1091932  3.3016205
 mc                                               4.6791478 0.06793307 NA  4.5478780  4.8142067
