cv_scheme = classic:
 method         rate         SE  df asymp.LCL asymp.UCL
 pr        1.5759738 0.01926402 Inf 1.5386658 1.6141865
 randomraw 0.8583808 0.01388758 Inf 0.8315887 0.8860361
 random    0.9646635 0.01477452 Inf 0.9361363 0.9940601
 EGAD      2.2645975 0.02359461 Inf 2.2188219 2.3113175
 ppr       3.0187252 0.02786260 Inf 2.9646065 3.0738319
 raw       2.6415691 0.02577499 Inf 2.5915310 2.6925733
 gm        1.4180259 0.01818080 Inf 1.3828361 1.4541111
 mc        3.5482938 0.03067196 Inf 3.4886842 3.6089218
 z         3.5827988 0.03085087 Inf 3.5228395 3.6437785
 knn       1.9619869 0.02175746 Inf 1.9198031 2.0050975
 wsld      1.8335619 0.02094898 Inf 1.7929589 1.8750843
 COSNet    1.6328056 0.01964383 Inf 1.5947548 1.6717643
 bagsvm    2.4856508 0.02488592 Inf 2.4373507 2.5349080
 rf        1.5617659 0.01916828 Inf 1.5246450 1.5997906
 svm       1.5104697 0.01881993 Inf 1.4740301 1.5478102

cv_scheme = block:
 method         rate         SE  df asymp.LCL asymp.UCL
 pr        1.5485630 0.01895144 Inf 1.5118608 1.5861562
 randomraw 0.8434510 0.01365528 Inf 0.8171073 0.8706440
 random    0.9478852 0.01452854 Inf 0.9198332 0.9767926
 EGAD      2.2252094 0.02322212 Inf 2.1801572 2.2711926
 ppr       2.9662206 0.02743499 Inf 2.9129335 3.0204825
 raw       2.5956243 0.02537388 Inf 2.5463659 2.6458357
 gm        1.3933622 0.01788387 Inf 1.3587477 1.4288585
 mc        3.4865784 0.03021001 Inf 3.4278678 3.5462945
 z         3.5204832 0.03038679 Inf 3.4614271 3.5805469
 knn       1.9278621 0.02140988 Inf 1.8863529 1.9702847
 wsld      1.8016708 0.02061260 Inf 1.7617204 1.8425271
 COSNet    1.6044062 0.01932583 Inf 1.5669719 1.6427348
 bagsvm    2.4424180 0.02449636 Inf 2.3948748 2.4909049
 rf        1.5346021 0.01885708 Inf 1.4980845 1.5720100
 svm       1.4841982 0.01851374 Inf 1.4483519 1.5209316

cv_scheme = representative:
 method         rate         SE  df asymp.LCL asymp.UCL
 pr        1.4827493 0.01820082 Inf 1.4475021 1.5188549
 randomraw 0.8076045 0.01309752 Inf 0.7823375 0.8336875
 random    0.9076002 0.01393788 Inf 0.8806895 0.9353332
 EGAD      2.1306384 0.02232750 Inf 2.0873236 2.1748520
 ppr       2.8401568 0.02640779 Inf 2.7888672 2.8923896
 raw       2.4853108 0.02441042 Inf 2.4379248 2.5336178
 gm        1.3341445 0.01717085 Inf 1.3009112 1.3682268
 mc        3.3383994 0.02910016 Inf 3.2818486 3.3959247
 z         3.3708633 0.02927179 Inf 3.3139771 3.4287260
 knn       1.8459283 0.02057514 Inf 1.8060390 1.8866985
 wsld      1.7251001 0.01980477 Inf 1.6867169 1.7643567
 COSNet    1.5362193 0.01856219 Inf 1.5002655 1.5730347
 bagsvm    2.3386156 0.02356069 Inf 2.2928904 2.3852527
 rf        1.4693818 0.01810976 Inf 1.4343126 1.5053085
 svm       1.4211200 0.01777846 Inf 1.3866986 1.4563958

Results are averaged over the levels of: disease 
Confidence level used: 0.95 
Intervals are back-transformed from the log scale 
