cv_scheme = classic:
 method          prob           SE  df  asymp.LCL  asymp.UCL
 pr        0.07262523 0.0005921727 Inf 0.07147311 0.07379445
 randomraw 0.04100816 0.0004408142 Inf 0.04015284 0.04188090
 random    0.04825065 0.0004793747 Inf 0.04731973 0.04919894
 EGAD      0.11762115 0.0007585597 Inf 0.11614252 0.11911606
 ppr       0.12392553 0.0007788882 Inf 0.12240699 0.12546021
 raw       0.12977897 0.0007972276 Inf 0.12822442 0.13134952
 gm        0.05680703 0.0005215505 Inf 0.05579341 0.05783793
 mc        0.14366614 0.0008388142 Inf 0.14202991 0.14531802
 z         0.14013446 0.0008284846 Inf 0.13851853 0.14176615
 knn       0.09665896 0.0006861935 Inf 0.09532237 0.09801225
 wsld      0.09330070 0.0006738399 Inf 0.09198836 0.09462981
 COSNet    0.07239897 0.0005912186 Inf 0.07124872 0.07356632
 bagsvm    0.12811505 0.0007920653 Inf 0.12657064 0.12967551
 rf        0.08161153 0.0006289434 Inf 0.08038727 0.08285275
 svm       0.07308447 0.0005941047 Inf 0.07192856 0.07425747

cv_scheme = block:
 method          prob           SE  df  asymp.LCL  asymp.UCL
 pr        0.07192197 0.0005872468 Inf 0.07077945 0.07308148
 randomraw 0.04059765 0.0004367649 Inf 0.03975020 0.04146239
 random    0.04777126 0.0004750695 Inf 0.04684871 0.04871105
 EGAD      0.11653692 0.0007531100 Inf 0.11506895 0.11802113
 ppr       0.12279127 0.0007734104 Inf 0.12128345 0.12431520
 raw       0.12859900 0.0007917317 Inf 0.12705520 0.13015876
 gm        0.05624765 0.0005169902 Inf 0.05524290 0.05726955
 mc        0.14238057 0.0008333042 Inf 0.14075512 0.14402164
 z         0.13887537 0.0008229745 Inf 0.13727021 0.14049624
 knn       0.09574699 0.0006809098 Inf 0.09442072 0.09708989
 wsld      0.09241718 0.0006685944 Inf 0.09111507 0.09373597
 COSNet    0.07169773 0.0005862971 Inf 0.07055707 0.07285538
 bagsvm    0.12694801 0.0007865738 Inf 0.12541433 0.12849768
 rf        0.08082883 0.0006238594 Inf 0.07961449 0.08206004
 svm       0.07237710 0.0005891700 Inf 0.07123081 0.07354038

cv_scheme = representative:
 method          prob           SE  df  asymp.LCL  asymp.UCL
 pr        0.06971125 0.0005717050 Inf 0.06859902 0.07084013
 randomraw 0.03930899 0.0004240268 Inf 0.03848629 0.04014854
 random    0.04626587 0.0004615170 Inf 0.04536968 0.04717889
 EGAD      0.11312199 0.0007358414 Inf 0.11168777 0.11457226
 ppr       0.11921780 0.0007560419 Inf 0.11774393 0.12070760
 raw       0.12488058 0.0007742958 Inf 0.12337087 0.12640609
 gm        0.05449043 0.0005026231 Inf 0.05351366 0.05548399
 mc        0.13832690 0.0008157990 Inf 0.13673571 0.13993361
 z         0.13490581 0.0008054754 Inf 0.13333489 0.13649232
 knn       0.09287723 0.0006642010 Inf 0.09158358 0.09418725
 wsld      0.08963732 0.0006520115 Inf 0.08836759 0.09092348
 COSNet    0.06949339 0.0005707695 Inf 0.06838300 0.07062044
 bagsvm    0.12327057 0.0007691546 Inf 0.12177095 0.12478602
 rf        0.07836745 0.0006078051 Inf 0.07718443 0.07956704
 svm       0.07015345 0.0005735995 Inf 0.06903751 0.07128605

Results are averaged over the levels of: disease 
Confidence level used: 0.95 
Intervals are back-transformed from the logit scale 
