cv_scheme = classic, disease = allergy:
 method                                                prob           SE df  asymp.LCL  asymp.UCL
 pr                                              0.06911331 0.0028397307 NA 0.06375077 0.07489084
 randomraw                                       0.02630455 0.0017736339 NA 0.02304299 0.03001358
 random                                          0.03144289 0.0019366416 NA 0.02786097 0.03546853
 EGAD                                            0.24904497 0.0049616799 NA 0.23944766 0.25889601
 association_score.datatypes.affected_pathway    0.03205761 0.0019551668 NA 0.02843925 0.03611922
 association_score.datatypes.animal_model        0.09844038 0.0033551324 NA 0.09205728 0.10521478
 association_score.datatypes.genetic_association 0.06610074 0.0027798226 NA 0.06085662 0.07176223
 association_score.datatypes.literature          0.30894845 0.0053112418 NA 0.29863671 0.31945407
 association_score.datatypes.rna_expression      0.04367810 0.0022749375 NA 0.03943025 0.04836053
 association_score.datatypes.somatic_mutation    0.03205761 0.0019551668 NA 0.02843925 0.03611922
 ppr                                             0.38402533 0.0055781738 NA 0.37315253 0.39501530
 raw                                             0.35553089 0.0054980013 NA 0.34482968 0.36637847
 gm                                              0.08253069 0.0030893898 NA 0.07667423 0.08879146
 mc                                              0.33931862 0.0054409996 NA 0.32873733 0.35006288
 z                                               0.35086617 0.0054824579 NA 0.34019779 0.36168571
 knn                                             0.31506163 0.0053398194 NA 0.30469083 0.32562012
 wsld                                            0.30980602 0.0053153267 NA 0.29948584 0.32031920
 COSNet                                          0.24309998 0.0049197041 NA 0.23358777 0.25287174
 bagsvm                                          0.34749796 0.0054708054 NA 0.33685412 0.35829641
 rf                                              0.44881065 0.0056688283 NA 0.43772730 0.45994508
 svm                                             0.35968619 0.0055112688 NA 0.34895688 0.37055763

cv_scheme = blocked_cv, disease = allergy:
 method                                                prob           SE df  asymp.LCL  asymp.UCL
 pr                                              0.03582167 0.0015715631 NA 0.03286578 0.03903267
 randomraw                                       0.01333828 0.0009232095 NA 0.01164480 0.01527422
 random                                          0.01598536 0.0010156743 NA 0.01411193 0.01810293
 EGAD                                            0.14233315 0.0034757543 NA 0.13565580 0.14928240
