"rep_cv","method","input_type","disease","auroc","partial_auroc_0.9","partial_auroc_0.95","auprc","top_20_hits","top_100_hits"
"Rep01","raw","drugs","allergy",0.88398186012378,0.0463357141141284,0.0114068066149936,0.0650494970704071,1,3.33333333333333
"Rep01","raw","drugs","Alzheimers disease",0.92249446489009,0.0574519789298989,0.0220379730447594,0.263040127308448,8,16
"Rep01","raw","drugs","arthritis",0.883393636247689,0.0519602032896027,0.0202445905573095,0.236913497680055,8,27
"Rep01","raw","drugs","asthma",0.895195090351378,0.0552051812530116,0.0176415668135075,0.11482129044118,2.66666666666667,8.66666666666667
"Rep01","raw","drugs","bipolar disorder",0.934455867607015,0.0729100622111095,0.0312690812282085,0.442129872901865,15.3333333333333,29.6666666666667
"Rep01","raw","drugs","cardiac arrhythmia",0.957482239211255,0.0802797784166264,0.0359823456870374,0.610272278027451,18,41
"Rep01","raw","drugs","chronic obstructive pulmonary disease",0.914826988913993,0.0643267456315762,0.0258459925442549,0.350937812088467,14.3333333333333,19.6666666666667
"Rep01","raw","drugs","coronary heart disease",0.919052991784996,0.0653322954685457,0.0262398459369029,0.391830687589335,15.3333333333333,25.6666666666667
"Rep01","raw","drugs","drug dependence",0.917985730891198,0.0694604882919157,0.0285650700918754,0.323517521448134,9,27.6666666666667
"Rep01","raw","drugs","hypertension",0.917801545702259,0.0615136030109364,0.0259803577958178,0.427717354664336,16.6666666666667,31.6666666666667
"Rep01","raw","drugs","multiple sclerosis",0.919359809692235,0.0629789826862884,0.0271384282681005,0.367427380195995,13.6666666666667,31
"Rep01","raw","drugs","obesity",0.934823885587794,0.0688108620036472,0.0278410221136584,0.424100393350164,16.3333333333333,29.6666666666667
"Rep01","raw","drugs","Parkinson's disease",0.945468744414056,0.0712586960406021,0.030026192468402,0.468526063064525,16,27.3333333333333
"Rep01","raw","drugs","psoriasis",0.918786253765051,0.0513463519384104,0.0183285129673775,0.212635667389476,6,11.3333333333333
"Rep01","raw","drugs","rheumatoid arthritis",0.877666182767204,0.0450339319739641,0.0172768053826546,0.0914267679251857,3,11
"Rep01","raw","drugs","schizophrenia",0.936519295601497,0.0729309953470473,0.0306575327268766,0.465509274057398,15,31.6666666666667
"Rep01","raw","drugs","stroke",0.943818572497533,0.0739454617389953,0.0314772861854015,0.480501897223063,16.3333333333333,32
"Rep01","raw","drugs","systemic lupus erythematosus",0.928407482216888,0.0638384270439188,0.0268207922951456,0.456780699616675,15,19.3333333333333
"Rep01","raw","drugs","type I diabetes mellitus",0.919146403988682,0.0626128390892219,0.0255327570871295,0.44721359239586,15.3333333333333,17.3333333333333
"Rep01","raw","drugs","type II diabetes mellitus",0.923780769883297,0.0666081394792618,0.0277121931623318,0.447076352136368,15.3333333333333,26.6666666666667
"Rep01","raw","drugs","ulcerative colitis",0.901599348132859,0.0521728950816676,0.0189012797024905,0.0509611006472201,0.333333333333333,7.66666666666667
"Rep01","raw","drugs","unipolar depression",0.913034717459417,0.058536594719717,0.0215755174867664,0.197432456976431,8.33333333333333,16
"Rep01","raw","genetic","allergy",0.744846463091263,0.0143524708615264,0.00412080367714256,0.0123520464626859,0,2
"Rep01","raw","genetic","Alzheimers disease",0.72637759237916,0.0152571670980079,0.0051081387777313,0.0263369046341757,1,3.66666666666667
"Rep01","raw","genetic","arthritis",0.717613173536557,0.00893221823024471,0.00169435802157783,0.0322370695634208,0.333333333333333,1.66666666666667
"Rep01","raw","genetic","asthma",0.790063266421941,0.0184471734123292,0.00122560934936526,0.0237034889574838,0,0.666666666666667
"Rep01","raw","genetic","bipolar disorder",0.660326306828182,0.0132250265936082,0.00274189315988319,0.0243153479506051,0,2
"Rep01","raw","genetic","cardiac arrhythmia",0.640218170693182,0.0307431085130259,0.0140251192797052,0.133250444655591,9,17.6666666666667
"Rep01","raw","genetic","chronic obstructive pulmonary disease",0.547800483147129,0.00906373069606152,0.00220345331316982,0.0169070606940527,1.66666666666667,1.66666666666667
"Rep01","raw","genetic","coronary heart disease",0.551794350328041,0.00902925188573586,0.00308720149103445,0.0223447682148652,1,4
"Rep01","raw","genetic","drug dependence",0.674812518465412,0.0133048068934874,0.0043622901462333,0.0385652078425137,2,4.33333333333333
"Rep01","raw","genetic","hypertension",0.56081914343441,0.00731752362639459,0.00142718234765276,0.0198895365832109,0,1.66666666666667
"Rep01","raw","genetic","multiple sclerosis",0.740321816902761,0.0116245033815477,0.00292638859897963,0.0311593354615707,0.333333333333333,4.33333333333333
"Rep01","raw","genetic","obesity",0.609364256034646,0.0166698596511945,0.00390067281109138,0.0340668813070183,0.333333333333333,4.66666666666667
"Rep01","raw","genetic","Parkinson's disease",0.599363651735896,0.00345811012509933,0.000990161960696686,0.0147182749653772,0,1
"Rep01","raw","genetic","psoriasis",0.701477283700495,0.010882623135612,0.00229906452345753,0.017965387137374,0,0.333333333333333
"Rep01","raw","genetic","rheumatoid arthritis",0.753923630443757,0.0147700449733567,0.00324682416626014,0.0211472589927953,0,1.33333333333333
"Rep01","raw","genetic","schizophrenia",0.678328761495525,0.0162962822926812,0.0029320838507152,0.0292051099170345,0.333333333333333,1.66666666666667
"Rep01","raw","genetic","stroke",0.577525516867176,0.00301819957257453,0.00100923029018109,0.022174731084862,0.333333333333333,1.33333333333333
"Rep01","raw","genetic","systemic lupus erythematosus",0.524627140100816,0.00807423990193753,0.00219390742309557,0.0114167633024526,0,1.66666666666667
"Rep01","raw","genetic","type I diabetes mellitus",0.540069652577107,0.0165214263571512,0.00503241612184609,0.0170003907067314,0,4.33333333333333
"Rep01","raw","genetic","type II diabetes mellitus",0.672057853266825,0.0164084631272599,0.0016002873218836,0.0312139120889097,0.333333333333333,1
"Rep01","raw","genetic","ulcerative colitis",0.851807351663513,0.0293224806889813,0.00807225102644236,0.0206903957557396,0,2.66666666666667
"Rep01","raw","genetic","unipolar depression",0.803824305541641,0.0270019093865236,0.00854514686800293,0.0488198177066397,1.33333333333333,7
"Rep01","gm","drugs","allergy",0.364507149062178,0,0,0.0034781443150305,0,0
"Rep01","gm","drugs","Alzheimers disease",0.523460552262462,0.0206320259051567,0.0101223236191387,0.123554261093693,5.66666666666667,7.33333333333333
"Rep01","gm","drugs","arthritis",0.55436103508129,0.0103464566054075,0.00487808766570904,0.0676612187889026,5.66666666666667,6.33333333333333
"Rep01","gm","drugs","asthma",0.429223511248818,0.00254434248633785,0.00126055870255406,0.0224471778930712,0.666666666666667,0.666666666666667
"Rep01","gm","drugs","bipolar disorder",0.724957038923209,0.0432511928037429,0.0206757834274223,0.322736344667167,15.3333333333333,19.6666666666667
"Rep01","gm","drugs","cardiac arrhythmia",0.803039495010993,0.0581007583948616,0.028359916956454,0.482907404856424,16,34
"Rep01","gm","drugs","chronic obstructive pulmonary disease",0.659461301464317,0.0417077915543062,0.0204622935646223,0.280372500198825,14.3333333333333,16
"Rep01","gm","drugs","coronary heart disease",0.662113072181332,0.0374378478248184,0.0184023241325829,0.294873822074401,15.3333333333333,21.3333333333333
"Rep01","gm","drugs","drug dependence",0.65968329771757,0.020510849846028,0.00975046955394938,0.113066987864577,7.66666666666667,10
"Rep01","gm","drugs","hypertension",0.671543723161509,0.0390535544490293,0.0190697866571831,0.325143126423115,17.3333333333333,24.3333333333333
"Rep01","gm","drugs","multiple sclerosis",0.577818989431793,0.0262919367481566,0.0128338462471336,0.199286757800261,13,14.6666666666667
"Rep01","gm","drugs","obesity",0.688048755528831,0.0358197555102066,0.0174714796948668,0.282338943112389,16,23.3333333333333
"Rep01","gm","drugs","Parkinson's disease",0.690112883615462,0.0395546653860395,0.0195152257015569,0.329810947945938,15.3333333333333,19.6666666666667
"Rep01","gm","drugs","psoriasis",0.477036887134516,0.0156827671094626,0.00781239673909221,0.120523786893831,5,5
"Rep01","gm","drugs","rheumatoid arthritis",0.443437049893212,0,0,0.00653811347209317,0,0
"Rep01","gm","drugs","schizophrenia",0.67857584824478,0.0308631061934456,0.0151713776931198,0.288763306728926,15,17
"Rep01","gm","drugs","stroke",0.690614981607527,0.0369233747903196,0.0181851944897969,0.305634489993096,15.6666666666667,19
"Rep01","gm","drugs","systemic lupus erythematosus",0.626086155609623,0.0421295435012771,0.0210433979047276,0.39642910779436,15,15.3333333333333
"Rep01","gm","drugs","type I diabetes mellitus",0.649202092513673,0.045367704818212,0.0223795246770694,0.395444888337495,15.3333333333333,16
"Rep01","gm","drugs","type II diabetes mellitus",0.69762002486614,0.0425919732651679,0.0207845988359795,0.33226518286654,15,22
"Rep01","gm","drugs","ulcerative colitis",0.320190299337172,0,0,0.00292829749459054,0,0
"Rep01","gm","drugs","unipolar depression",0.558902450188439,0.0167534020064488,0.00795481188712913,0.0717732683280228,5.33333333333333,6.33333333333333
"Rep01","gm","genetic","allergy",0.292118543729095,0,0,0.00314538443410594,0,0
"Rep01","gm","genetic","Alzheimers disease",0.364115166487276,0,0,0.006238310536372,0,0
"Rep01","gm","genetic","arthritis",0.327678820964481,0.000654338234225987,0.00025500822083766,0.0112825942539828,0.333333333333333,0.333333333333333
"Rep01","gm","genetic","asthma",0.276244549743234,0,0,0.00429129306605317,0,0
"Rep01","gm","genetic","bipolar disorder",0.301713462056599,0.000608267264161781,0.000261045041939561,0.00818232784905152,0,0.333333333333333
"Rep01","gm","genetic","cardiac arrhythmia",0.352585582406735,0.0014278343433758,0.000490958306969384,0.0107298324350656,0,0.666666666666667
"Rep01","gm","genetic","chronic obstructive pulmonary disease",0.231515588303715,0.0013224826772909,0.000355061855966015,0.00633053165418989,0.333333333333333,0.333333333333333
"Rep01","gm","genetic","coronary heart disease",0.264656283711161,0.000203772755328953,0,0.00890992375758242,0,0
"Rep01","gm","genetic","drug dependence",0.374213819548566,0.0020748138899935,0.000677593118822776,0.00979372417423557,0.666666666666667,0.666666666666667
"Rep01","gm","genetic","hypertension",0.263383073818685,0.000233826016349506,0,0.0100090704844964,0,0
"Rep01","gm","genetic","multiple sclerosis",0.249521301152499,0.00045950645169323,0.000177020575987016,0.00869626957138338,0,0.333333333333333
"Rep01","gm","genetic","obesity",0.310608766093084,0.000539417498763429,0.000161020749256044,0.010806838958069,0,0.333333333333333
"Rep01","gm","genetic","Parkinson's disease",0.27076501800447,0,0,0.00764007399773598,0,0
