cv_scheme = classic:
 method          prob           SE  df  asymp.LCL  asymp.UCL
 pr        0.15454322 0.0014580269 Inf 0.15170708 0.15742254
 randomraw 0.09364412 0.0011794082 Inf 0.09135796 0.09598144
 random    0.07155015 0.0010440730 Inf 0.06953061 0.07362370
 EGAD      0.37905510 0.0019585840 Inf 0.37522399 0.38290136
 ppr       0.52785476 0.0019106372 Inf 0.52410849 0.53159791
 raw       0.58493960 0.0018257885 Inf 0.58135670 0.58851354
 gm        0.23811045 0.0017114694 Inf 0.23477229 0.24148109
 mc        0.51893998 0.0018909028 Inf 0.51523291 0.52264497
 z         0.55902628 0.0018623080 Inf 0.55537309 0.56267308
 knn       0.53623173 0.0018791168 Inf 0.53254681 0.53991268
 wsld      0.53327592 0.0018832064 Inf 0.52958315 0.53696505
 COSNet    0.28413330 0.0018042379 Inf 0.28061037 0.28768278
 bagsvm    0.57287055 0.0018423377 Inf 0.56925582 0.57647752
 rf        0.56916971 0.0018613127 Inf 0.56551792 0.57281400
 svm       0.50655269 0.0019214835 Inf 0.50278635 0.51031828

cv_scheme = block:
 method          prob           SE  df  asymp.LCL  asymp.UCL
 pr        0.07345296 0.0007783104 Inf 0.07194201 0.07499309
 randomraw 0.04288725 0.0005805421 Inf 0.04176371 0.04403962
 random    0.03234131 0.0004989491 Inf 0.03137755 0.03333365
 EGAD      0.20932862 0.0014120188 Inf 0.20657456 0.21210957
 ppr       0.32653876 0.0017110880 Inf 0.32319400 0.32990126
 raw       0.37934442 0.0017866165 Inf 0.37584905 0.38285235
 gm        0.11936226 0.0010207862 Inf 0.11737601 0.12137750
 mc        0.31872875 0.0016718771 Inf 0.31546093 0.32201449
 z         0.35475444 0.0017499825 Inf 0.35133205 0.35819176
 knn       0.33398081 0.0017053362 Inf 0.33064679 0.33733150
 wsld      0.33134334 0.0017013362 Inf 0.32801728 0.33468632
 COSNet    0.14685713 0.0011445413 Inf 0.14462803 0.14911461
 bagsvm    0.36775880 0.0017689712 Inf 0.36429857 0.37123271
 rf        0.36425302 0.0017765380 Inf 0.36077823 0.36774203
 svm       0.30806013 0.0016667022 Inf 0.30480310 0.31133638

cv_scheme = representative:
 method          prob           SE  df  asymp.LCL  asymp.UCL
 pr        0.09680964 0.0009905997 Inf 0.09488541 0.09876864
 randomraw 0.05712381 0.0007568577 Inf 0.05565836 0.05862545
 random    0.04323525 0.0006561175 Inf 0.04196739 0.04453964
 EGAD      0.26359929 0.0016364505 Inf 0.26040445 0.26681917
 ppr       0.39597871 0.0018435116 Inf 0.39237123 0.39959754
 raw       0.45246921 0.0018655179 Inf 0.44881549 0.45612806
 gm        0.15487705 0.0012560551 Inf 0.15243118 0.15735489
 mc        0.38746339 0.0018085791 Inf 0.38392465 0.39101404
 z         0.42639561 0.0018536627 Inf 0.42276653 0.43003263
 knn       0.40405384 0.0018282750 Inf 0.40047566 0.40764225
 wsld      0.40119634 0.0018268892 Inf 0.39762103 0.40478219
 COSNet    0.18879883 0.0013814980 Inf 0.18610603 0.19152142
 bagsvm    0.44023438 0.0018595245 Inf 0.43659306 0.44388214
 rf        0.43651471 0.0018718232 Inf 0.43284954 0.44018683
 svm       0.37576304 0.0018154165 Inf 0.37221165 0.37932784

Results are averaged over the levels of: network, disease 
Confidence level used: 0.95 
Intervals are back-transformed from the logit scale 
