cv_scheme = classic:
 network  method          prob           SE df  asymp.LCL  asymp.UCL
 string   pr        0.14685337 0.0019977318 NA 0.14298094 0.15081223
 omnipath pr        0.16255902 0.0020774988 NA 0.15852818 0.16667205
 string   randomraw 0.09696290 0.0016814578 NA 0.09371692 0.10030885
 omnipath randomraw 0.09042756 0.0016309741 NA 0.08728139 0.09367550
 string   random    0.07139937 0.0014674767 NA 0.06857611 0.07432960
 omnipath random    0.07170121 0.0014702911 NA 0.06887239 0.07463691
 string   EGAD      0.50577500 0.0025919332 NA 0.50069448 0.51085432
 omnipath EGAD      0.26693630 0.0024451116 NA 0.26217140 0.27175590
 string   ppr       0.62758922 0.0023874237 NA 0.62289813 0.63225640
 omnipath ppr       0.42584615 0.0026292900 NA 0.42070107 0.43100734
 string   raw       0.63346430 0.0023731414 NA 0.62880072 0.63810302
 omnipath raw       0.53470943 0.0025592218 NA 0.52969010 0.53972174
 string   gm        0.20687326 0.0022643046 NA 0.20247048 0.21134640
 omnipath gm        0.27244414 0.0024581612 NA 0.26765297 0.27728860
 string   mc        0.55807772 0.0025255515 NA 0.55312212 0.56302178
 omnipath mc        0.47956843 0.0026128756 NA 0.47444961 0.48469154
 string   z         0.62292533 0.0023984708 NA 0.61821297 0.62761455
 omnipath z         0.49311018 0.0026030936 NA 0.48800910 0.49821269
 string   knn       0.58360901 0.0024814148 NA 0.57873754 0.58846421
 omnipath knn       0.48819124 0.0026069050 NA 0.48308322 0.49330174
 string   wsld      0.58560994 0.0024776322 NA 0.58074570 0.59045755
 omnipath wsld      0.48019915 0.0026124697 NA 0.47508106 0.48532140
 string   COSNet    0.33018001 0.0025639121 NA 0.32517437 0.33522443
 omnipath COSNet    0.24218637 0.0023794869 NA 0.23755326 0.24688058
 string   bagsvm    0.62551762 0.0023923623 NA 0.62081703 0.63019466
 omnipath bagsvm    0.51851916 0.0025787564 NA 0.51346317 0.52357136
 string   rf        0.65485315 0.0023176800 NA 0.65029655 0.65938147
 omnipath rf        0.47913407 0.0026131523 NA 0.47401476 0.48425777
 string   svm       0.59910944 0.0024508842 NA 0.59429642 0.60390342
 omnipath svm       0.41354459 0.0026278786 NA 0.40840367 0.41870442

cv_scheme = block:
 network  method          prob           SE df  asymp.LCL  asymp.UCL
 string   pr        0.06946652 0.0010434986 NA 0.06744895 0.07153981
 omnipath pr        0.07764909 0.0011073613 NA 0.07550629 0.07984744
 string   randomraw 0.04449549 0.0008240363 NA 0.04290807 0.04613881
 omnipath randomraw 0.04133461 0.0007926901 NA 0.03980861 0.04291650
 string   random    0.03227029 0.0006962436 NA 0.03093321 0.03366314
 omnipath random    0.03241248 0.0006978451 NA 0.03107227 0.03380848
 string   EGAD      0.30739734 0.0022289460 NA 0.30304603 0.31178317
 omnipath EGAD      0.13638576 0.0014951199 NA 0.13348179 0.13934273
