cv_scheme = classic, disease = allergy:
 method                                                rate          SE df  asymp.LCL  asymp.UCL
 pr                                              0.25239672 0.011801685 NA 0.23029410 0.27662064
 randomraw                                       0.07449539 0.004852198 NA 0.06556727 0.08463924
 random                                          0.12661046 0.006983141 NA 0.11363758 0.14106433
 EGAD                                            0.12502545 0.006920392 NA 0.11217158 0.13935226
 association_score.datatypes.affected_pathway    0.18798198 0.009364255 NA 0.17049589 0.20726145
 association_score.datatypes.animal_model        0.47645349 0.020109020 NA 0.43862665 0.51754249
 association_score.datatypes.genetic_association 0.58683347 0.024163699 NA 0.54133417 0.63615699
 association_score.datatypes.literature          1.09403612 0.042706024 NA 1.01345566 1.18102356
 association_score.datatypes.rna_expression      0.27503064 0.012649801 NA 0.25132216 0.30097566
 association_score.datatypes.somatic_mutation    0.18126155 0.009107151 NA 0.16426258 0.20001968
 ppr                                             0.49350818 0.020736456 NA 0.45449402 0.53587135
 raw                                             0.40690333 0.017545529 NA 0.37392778 0.44278689
 gm                                              0.05629949 0.004054447 NA 0.04888826 0.06483423
 mc                                              0.72200297 0.029115111 NA 0.66713524 0.78138324
 z                                               0.37843658 0.016493475 NA 0.34745217 0.41218406
 knn                                             0.38940483 0.016899056 NA 0.35765280 0.42397578
 wsld                                            0.29227553 0.013293998 NA 0.26734742 0.31952799
 COSNet                                          0.20313466 0.009941625 NA 0.18455479 0.22358504
 bagsvm                                          0.38927803 0.016894370 NA 0.35753487 0.42383947
 rf                                              0.15659882 0.008157060 NA 0.14140030 0.17343096
 svm                                             0.20433927 0.009987372 NA 0.18567274 0.22488243

cv_scheme = block, disease = allergy:
 method                                                rate          SE df  asymp.LCL  asymp.UCL
 pr                                              0.21187800 0.009939879 NA 0.19326502 0.23228355
 randomraw                                       0.06253621 0.004080199 NA 0.05502938 0.07106709
 random                                          0.10628494 0.005876047 NA 0.09537013 0.11844892
 EGAD                                            0.10495438 0.005823147 NA 0.09413989 0.11701122
 association_score.datatypes.affected_pathway    0.15780413 0.007883882 NA 0.14308444 0.17403810
 association_score.datatypes.animal_model        0.39996562 0.016949346 NA 0.36808769 0.43460432
 association_score.datatypes.genetic_association 0.49262565 0.020371085 NA 0.45427422 0.53421485
 association_score.datatypes.literature          0.91840409 0.036020294 NA 0.85045088 0.99178694
 association_score.datatypes.rna_expression      0.23087836 0.010655374 NA 0.21091090 0.25273618
 association_score.datatypes.somatic_mutation    0.15216257 0.007667046 NA 0.13785362 0.16795676
 ppr                                             0.41428242 0.017478825 NA 0.38140273 0.44999658
 raw                                             0.34158075 0.014786146 NA 0.31379577 0.37182595
 gm                                              0.04726141 0.003408316 NA 0.04103186 0.05443674
 mc                                              0.60609561 0.024549784 NA 0.55983930 0.65617380
 z                                               0.31768394 0.013898410 NA 0.29157876 0.34612632
 knn                                             0.32689140 0.014240641 NA 0.30013863 0.35602877
 wsld                                            0.24535482 0.011198863 NA 0.22435862 0.26831593
 COSNet                                          0.17052426 0.008370853 NA 0.15488224 0.18774603
 bagsvm                                          0.32678495 0.014236687 NA 0.30003966 0.35591429
 rf                                              0.13145909 0.006865827 NA 0.11866816 0.14562873
 svm                                             0.17153549 0.008409439 NA 0.15582038 0.18883552

cv_scheme = representative, disease = allergy:
 method                                                rate          SE df  asymp.LCL  asymp.UCL
 pr                                              0.15812457 0.007469683 NA 0.14414157 0.17346404
 randomraw                                       0.04667078 0.003056011 NA 0.04104953 0.05306179
 random                                          0.07932046 0.004407259 NA 0.07113612 0.08844643
 EGAD                                            0.07832747 0.004367428 NA 0.07021862 0.08737272
 association_score.datatypes.affected_pathway    0.11776924 0.005919810 NA 0.10671985 0.12996264
 association_score.datatypes.animal_model        0.29849438 0.012756945 NA 0.27450978 0.32457458
 association_score.datatypes.genetic_association 0.36764657 0.015338785 NA 0.33877946 0.39897343
 association_score.datatypes.literature          0.68540506 0.027148831 NA 0.63420739 0.74073578
 association_score.datatypes.rna_expression      0.17230454 0.008009201 NA 0.15730064 0.18873958
 association_score.datatypes.somatic_mutation    0.11355894 0.005756402 NA 0.10281895 0.12542078
 ppr                                             0.30917901 0.013156436 NA 0.28443890 0.33607099
 raw                                             0.25492175 0.011124917 NA 0.23402379 0.27768586
 gm                                              0.03527119 0.002551122 NA 0.03060933 0.04064307
 mc                                              0.45232921 0.018492102 NA 0.41749940 0.49006470
 z                                               0.23708755 0.010455226 NA 0.21745629 0.25849107
 knn                                             0.24395908 0.010713394 NA 0.22383949 0.26588710
 wsld                                            0.18310833 0.008419057 NA 0.16732895 0.20037573
 COSNet                                          0.12726228 0.006286830 NA 0.11551805 0.14020049
 bagsvm                                          0.24387964 0.010710411 NA 0.22376570 0.26580160
 rf                                              0.09810793 0.005152716 NA 0.08851121 0.10874517
 svm                                             0.12801695 0.006315915 NA 0.11621766 0.14101419

cv_scheme = classic, disease = Alzheimers disease:
 method                                                rate          SE df  asymp.LCL  asymp.UCL
 pr                                              0.51309088 0.020006565 NA 0.47533965 0.55384030
 randomraw                                       0.15143979 0.009056687 NA 0.13468984 0.17027275
 random                                          0.25738319 0.012546113 NA 0.23393137 0.28318608
 EGAD                                            0.25416107 0.012445770 NA 0.23090182 0.27976328
 association_score.datatypes.affected_pathway    0.38214380 0.016282818 NA 0.35152632 0.41542802
