cv_scheme = classic:
 method         rate          SE  df asymp.LCL asymp.UCL
 pr        0.5934280 0.012456102 Inf 0.5695098 0.6183506
 randomraw 0.2038009 0.006998462 Inf 0.1905356 0.2179898
 random    0.2223991 0.007326144 Inf 0.2084939 0.2372318
 EGAD      0.2511276 0.007810044 Inf 0.2362774 0.2669112
 ppr       0.8789986 0.015602273 Inf 0.8489446 0.9101167
 raw       0.6789901 0.013441564 Inf 0.6531496 0.7058528
 gm        0.4159139 0.010234194 Inf 0.3963313 0.4364641
 mc        0.8877263 0.015692932 Inf 0.8574954 0.9190229
 z         0.5526990 0.011970168 Inf 0.5297288 0.5766651
 knn       0.6580022 0.013203861 Inf 0.6326254 0.6843969
 wsld      0.5616864 0.012078436 Inf 0.5385050 0.5858656
 COSNet    0.5631410 0.012095903 Inf 0.5399255 0.5873546
 bagsvm    0.6595607 0.013221597 Inf 0.6341493 0.6859903
 rf        0.3180396 0.008854558 Inf 0.3011500 0.3358764
 svm       0.3373131 0.009138220 Inf 0.3198697 0.3557077

cv_scheme = block:
 method         rate          SE  df asymp.LCL asymp.UCL
 pr        0.4997961 0.010651498 Inf 0.4793496 0.5211148
 randomraw 0.1716450 0.005928138 Inf 0.1604105 0.1836662
 random    0.1873087 0.006208773 Inf 0.1755266 0.1998817
 EGAD      0.2115044 0.006623864 Inf 0.1989123 0.2248936
 ppr       0.7403091 0.013421229 Inf 0.7144658 0.7670872
 raw       0.5718582 0.011515554 Inf 0.5497277 0.5948795
 gm        0.3502905 0.008715726 Inf 0.3336178 0.3677964
 mc        0.7476597 0.013501508 Inf 0.7216600 0.7745960
 z         0.4654934 0.010226655 Inf 0.4458749 0.4859751
 knn       0.5541817 0.011306835 Inf 0.5324580 0.5767918
 wsld      0.4730628 0.010321241 Inf 0.4532599 0.4937308
 COSNet    0.4742879 0.010336504 Inf 0.4544553 0.4949859
 bagsvm    0.5554943 0.011322402 Inf 0.5337403 0.5781351
 rf        0.2678589 0.007522633 Inf 0.2535132 0.2830163
 svm       0.2840914 0.007767384 Inf 0.2692684 0.2997305

cv_scheme = representative:
 method         rate          SE  df asymp.LCL asymp.UCL
 pr        0.3696255 0.008136405 Inf 0.3540176 0.3859216
 randomraw 0.1269405 0.004439622 Inf 0.1185305 0.1359471
 random    0.1385246 0.004654730 Inf 0.1296955 0.1479549
 EGAD      0.1564186 0.004973947 Inf 0.1469674 0.1664776
 ppr       0.5474975 0.010374084 Inf 0.5275376 0.5682126
 raw       0.4229192 0.008829465 Inf 0.4059630 0.4405836
 gm        0.2590582 0.006601921 Inf 0.2464365 0.2723264
 mc        0.5529337 0.010439606 Inf 0.5328464 0.5737782
 z         0.3442569 0.007797427 Inf 0.3293084 0.3598838
 knn       0.4098465 0.008661614 Inf 0.3932169 0.4271795
 wsld      0.3498548 0.007872792 Inf 0.3347597 0.3656305
 COSNet    0.3507608 0.007884959 Inf 0.3356421 0.3665606
 bagsvm    0.4108173 0.008674124 Inf 0.3941633 0.4281749
 rf        0.1980957 0.005669463 Inf 0.1872897 0.2095252
 svm       0.2101006 0.005859896 Inf 0.1989236 0.2219055

Results are averaged over the levels of: network, disease 
Confidence level used: 0.95 
Intervals are back-transformed from the log scale 
