"disease","cv_scheme","fold","train_all","train_pos","validation_all","validation_pos","split_complexes"
"allergy","classic","Rep01.Fold1",7832,75,3916,37,0
"allergy","classic","Rep01.Fold2",7833,75,3915,37,0
"allergy","classic","Rep01.Fold3",7831,74,3917,38,0
"allergy","classic","Rep02.Fold1",7832,75,3916,37,0
"allergy","classic","Rep02.Fold2",7833,75,3915,37,0
"allergy","classic","Rep02.Fold3",7831,74,3917,38,0
"allergy","classic","Rep03.Fold1",7832,75,3916,37,0
"allergy","classic","Rep03.Fold2",7831,74,3917,38,0
"allergy","classic","Rep03.Fold3",7833,75,3915,37,0
"allergy","classic","Rep04.Fold1",7833,75,3915,37,0
"allergy","classic","Rep04.Fold2",7832,75,3916,37,0
"allergy","classic","Rep04.Fold3",7831,74,3917,38,0
"allergy","classic","Rep05.Fold1",7832,75,3916,37,0
"allergy","classic","Rep05.Fold2",7833,75,3915,37,0
"allergy","classic","Rep05.Fold3",7831,74,3917,38,0
"allergy","classic","Rep06.Fold1",7833,75,3915,37,0
"allergy","classic","Rep06.Fold2",7831,74,3917,38,0
"allergy","classic","Rep06.Fold3",7832,75,3916,37,0
"allergy","classic","Rep07.Fold1",7833,75,3915,37,0
"allergy","classic","Rep07.Fold2",7831,74,3917,38,0
"allergy","classic","Rep07.Fold3",7832,75,3916,37,0
"allergy","classic","Rep08.Fold1",7831,74,3917,38,0
"allergy","classic","Rep08.Fold2",7833,75,3915,37,0
"allergy","classic","Rep08.Fold3",7832,75,3916,37,0
"allergy","classic","Rep09.Fold1",7833,75,3915,37,0
"allergy","classic","Rep09.Fold2",7832,75,3916,37,0
"allergy","classic","Rep09.Fold3",7831,74,3917,38,0
"allergy","classic","Rep10.Fold1",7832,75,3916,37,0
"allergy","classic","Rep10.Fold2",7832,74,3916,38,0
"allergy","classic","Rep10.Fold3",7832,75,3916,37,0
"allergy","classic","Rep11.Fold1",7832,75,3916,37,0
"allergy","classic","Rep11.Fold2",7832,75,3916,37,0
"allergy","classic","Rep11.Fold3",7832,74,3916,38,0
"allergy","classic","Rep12.Fold1",7833,75,3915,37,0
"allergy","classic","Rep12.Fold2",7832,75,3916,37,0
"allergy","classic","Rep12.Fold3",7831,74,3917,38,0
"allergy","classic","Rep13.Fold1",7833,75,3915,37,0
"allergy","classic","Rep13.Fold2",7831,74,3917,38,0
"allergy","classic","Rep13.Fold3",7832,75,3916,37,0
"allergy","classic","Rep14.Fold1",7833,75,3915,37,0
"allergy","classic","Rep14.Fold2",7831,74,3917,38,0
"allergy","classic","Rep14.Fold3",7832,75,3916,37,0
"allergy","classic","Rep15.Fold1",7832,75,3916,37,0
"allergy","classic","Rep15.Fold2",7833,75,3915,37,0
"allergy","classic","Rep15.Fold3",7831,74,3917,38,0
"allergy","classic","Rep16.Fold1",7831,74,3917,38,0
