"disease","cv_scheme","fold","train_all","train_pos","validation_all","validation_pos","split_complexes"
"allergy","classic","Rep01.Fold1",7832,38,3916,19,8
"allergy","classic","Rep01.Fold2",7832,38,3916,19,6
"allergy","classic","Rep01.Fold3",7832,38,3916,19,7
"allergy","classic","Rep02.Fold1",7832,38,3916,19,7
"allergy","classic","Rep02.Fold2",7832,38,3916,19,3
"allergy","classic","Rep02.Fold3",7832,38,3916,19,6
"allergy","classic","Rep03.Fold1",7832,38,3916,19,3
"allergy","classic","Rep03.Fold2",7832,38,3916,19,6
"allergy","classic","Rep03.Fold3",7832,38,3916,19,7
"allergy","classic","Rep04.Fold1",7832,38,3916,19,7
"allergy","classic","Rep04.Fold2",7832,38,3916,19,6
"allergy","classic","Rep04.Fold3",7832,38,3916,19,7
"allergy","classic","Rep05.Fold1",7832,38,3916,19,6
"allergy","classic","Rep05.Fold2",7832,38,3916,19,4
"allergy","classic","Rep05.Fold3",7832,38,3916,19,4
"allergy","classic","Rep06.Fold1",7832,38,3916,19,4
"allergy","classic","Rep06.Fold2",7832,38,3916,19,6
"allergy","classic","Rep06.Fold3",7832,38,3916,19,4
"allergy","classic","Rep07.Fold1",7832,38,3916,19,4
"allergy","classic","Rep07.Fold2",7832,38,3916,19,0
"allergy","classic","Rep07.Fold3",7832,38,3916,19,4
"allergy","classic","Rep08.Fold1",7832,38,3916,19,3
"allergy","classic","Rep08.Fold2",7832,38,3916,19,4
"allergy","classic","Rep08.Fold3",7832,38,3916,19,4
"allergy","classic","Rep09.Fold1",7832,38,3916,19,6
"allergy","classic","Rep09.Fold2",7832,38,3916,19,3
"allergy","classic","Rep09.Fold3",7832,38,3916,19,7
"allergy","classic","Rep10.Fold1",7832,38,3916,19,8
"allergy","classic","Rep10.Fold2",7832,38,3916,19,5
"allergy","classic","Rep10.Fold3",7832,38,3916,19,5
"allergy","classic","Rep11.Fold1",7832,38,3916,19,2
"allergy","classic","Rep11.Fold2",7832,38,3916,19,5
"allergy","classic","Rep11.Fold3",7832,38,3916,19,3
"allergy","classic","Rep12.Fold1",7832,38,3916,19,7
