"method","cv_scheme","prob","SE","df","asymp.LCL","asymp.UCL"
"association_score.datatypes.affected_pathway","classic",0.0461301433562411,0.000350921377286453,Inf,0.045447209005748,0.0468228367538057
"association_score.datatypes.animal_model","classic",0.0622685044954136,0.000416078966209134,Inf,0.0614579730064867,0.0630890070292346
"association_score.datatypes.genetic_association","classic",0.0817508720713367,0.000486755745740233,Inf,0.0808019053131275,0.0827099810035266
"association_score.datatypes.literature","classic",0.275936455391829,0.000952599213813659,Inf,0.274073309930298,0.277807419428913
"association_score.datatypes.rna_expression","classic",0.0662368594981345,0.00043108820594282,Inf,0.0653969322534184,0.0670868000234494
"association_score.datatypes.somatic_mutation","classic",0.0457311987842568,0.000349211461940099,Inf,0.0450516126691229,0.046420537871838
"association_score.datatypes.affected_pathway","block",0.0476851482244032,0.000360895816799572,Inf,0.0469827681870917,0.0483974954123852
"association_score.datatypes.animal_model","block",0.0643308296867265,0.000427088469508309,Inf,0.0634988060802874,0.0651729965908283
"association_score.datatypes.genetic_association","block",0.0844003749253473,0.000498588638381853,Inf,0.0834282809636653,0.0853827404496666
"association_score.datatypes.literature","block",0.282940208736242,0.000961380254222424,Inf,0.281059742443021,0.284828272017389
"association_score.datatypes.rna_expression","block",0.0684210263010798,0.000442298351218077,Inf,0.067559209336461,0.0692930200227912
"association_score.datatypes.somatic_mutation","block",0.0472734220768771,0.000359155103502208,Inf,0.0465744510766901,0.0479823550416399
"association_score.datatypes.affected_pathway","representative",0.0543161698574862,0.000402870026735682,Inf,0.0535319474000305,0.0551112119135595
"association_score.datatypes.animal_model","representative",0.0730988974170741,0.000473084402372292,Inf,0.0721770688376735,0.0740315599696297
"association_score.datatypes.genetic_association","representative",0.0956242960721217,0.000547606011615358,Inf,0.0945563811767967,0.0967029838096339
"association_score.datatypes.literature","representative",0.311581876916973,0.000994360397326361,Inf,0.309636310440005,0.313534116181567
"association_score.datatypes.rna_expression","representative",0.077700279087751,0.000489050618746105,Inf,0.0767471553542713,0.0786642311354128
"association_score.datatypes.somatic_mutation","representative",0.0538504272542448,0.000401007301609446,Inf,0.0530698549757909,0.0546418179969779
