"method","cv_scheme","network","rate","SE","df","asymp.LCL","asymp.UCL"
"association_score.datatypes.affected_pathway","classic","string",0.222461479356371,0.00571189889723541,Inf,0.211543387459948,0.233943071403236
"association_score.datatypes.animal_model","classic","string",0.771033157280663,0.0120354515933332,Inf,0.747801296401491,0.794986759834404
"association_score.datatypes.genetic_association","classic","string",1.09358841585806,0.0152298418146029,Inf,1.06414217616149,1.12384947245758
"association_score.datatypes.literature","classic","string",1.98621163014287,0.0235468815850344,Inf,1.94059263760577,2.03290302316205
"association_score.datatypes.rna_expression","classic","string",0.454699043693456,0.00863817479412607,Inf,0.438079856179424,0.471948703916357
"association_score.datatypes.somatic_mutation","classic","string",0.211685567500049,0.00555643772412164,Inf,0.201070542170051,0.222860987015791
"association_score.datatypes.affected_pathway","block","string",0.220318346066123,0.00565997543881207,Inf,0.209499652106945,0.231695724194011
"association_score.datatypes.animal_model","block","string",0.763605233884513,0.0119371898050328,Inf,0.740563566617989,0.787363812506594
"association_score.datatypes.genetic_association","block","string",1.08305308296971,0.0151112302147281,Inf,1.05383691336199,1.11307923043617
"association_score.datatypes.literature","block","string",1.96707700837215,0.0233799874877625,Inf,1.92178269880887,2.01343885511333
"association_score.datatypes.rna_expression","block","string",0.450318596973409,0.0085635281207008,Inf,0.433843329348789,0.467419515437722
"association_score.datatypes.somatic_mutation","block","string",0.209646246409103,0.00550579721744456,Inf,0.199128105574551,0.220719965705553
"association_score.datatypes.affected_pathway","representative","string",0.160756215910374,0.00421599180748289,Inf,0.152701803632526,0.169235466373486
"association_score.datatypes.animal_model","representative","string",0.557167798508206,0.00919255670689938,Inf,0.539438911925191,0.575479352400762
"association_score.datatypes.genetic_association","representative","string",0.790254276854553,0.0117877205751608,Inf,0.767485223546614,0.813698821719377
"association_score.datatypes.literature","representative","string",1.43528608450656,0.0186640219054946,Inf,1.39916750194862,1.47233704435613
"association_score.datatypes.rna_expression","representative","string",0.328576874763701,0.00648436656702578,Inf,0.316110401297288,0.341534989631506
"association_score.datatypes.somatic_mutation","representative","string",0.152969273119119,0.00409756964106409,Inf,0.145145364041706,0.161214921834279
"association_score.datatypes.affected_pathway","classic","omnipath",0.207111843687862,0.0053335846360374,Inf,0.196917641883547,0.217833787696649
"association_score.datatypes.animal_model","classic","omnipath",0.717832584818231,0.0112948750088304,Inf,0.696032909109744,0.740315024020766
"association_score.datatypes.genetic_association","classic","omnipath",1.01813182983117,0.0143217038691002,Inf,0.990445221425658,1.04659238137703
"association_score.datatypes.literature","classic","omnipath",1.84916487053552,0.0222260686121856,Inf,1.80611168720592,1.89324433402704
"association_score.datatypes.rna_expression","classic","omnipath",0.423325231563342,0.00808574643305457,Inf,0.407770434165898,0.439473381744125
"association_score.datatypes.somatic_mutation","classic","omnipath",0.197079459751381,0.00518775763713834,Inf,0.187169479929036,0.207514138900328
"association_score.datatypes.affected_pathway","block","omnipath",0.205116584606171,0.00528508306585099,Inf,0.195015222816143,0.215741174832112
"association_score.datatypes.animal_model","block","omnipath",0.710917181244543,0.0112023967286746,Inf,0.689296477556591,0.733216047150326
"association_score.datatypes.genetic_association","block","omnipath",1.00832342513709,0.0142096412780549,Inf,0.980854143795292,1.03656199661463
"association_score.datatypes.literature","block","omnipath",1.83135051991325,0.0220670011325159,Inf,1.78860671378521,1.87511580994171
"association_score.datatypes.rna_expression","block","omnipath",0.419247031602655,0.00801578731918304,Inf,0.403827100977497,0.435255764365929
"association_score.datatypes.somatic_mutation","block","omnipath",0.195180849923561,0.00514046195503552,Inf,0.185361348359503,0.205520538742512
"association_score.datatypes.affected_pathway","representative","omnipath",0.149664186167465,0.00393627199782612,Inf,0.142144708406381,0.157581445502225
"association_score.datatypes.animal_model","representative","omnipath",0.518723737369756,0.00861973874651437,Inf,0.502101514787271,0.535896243660704
"association_score.datatypes.genetic_association","representative","omnipath",0.73572746497551,0.0110707205774379,Inf,0.714346092848607,0.757748811309042
"association_score.datatypes.literature","representative","omnipath",1.33625267638127,0.0175766628974431,Inf,1.30224332744465,1.37115021248745
"association_score.datatypes.rna_expression","representative","omnipath",0.305905375269441,0.00606728528629131,Inf,0.294241884639268,0.318031196454107
"association_score.datatypes.somatic_mutation","representative","omnipath",0.142414535203825,0.00382525717431168,Inf,0.135111099092694,0.150112758859336
